upc,price,stock
058716989744,5.97,100
681131759069,1.22,100
681131810081,1.24,100
064100852525,2.47,100
815506018080,2.5,100
014100170945,2.97,100
605388878267,2.47,100
076150473186,2,100
058807413295,2,100
058779268831,5.97,100
681131913454,4.57,100
051500025888,3.97,100
051500051900,2.97,100
051500051955,3.97,100
051500051962,3.97,100
051500338155,3.97,100
055685111152,2.97,100
058807412151,2,100
058807413264,2,100
681131913614,0.88,100
058807414025,2,100
681131759083,0.88,100
058807412939,2,100
681131759144,0.88,100
058807412892,2,100
058807414018,2,100
058807412694,3.97,100
058807413271,2,100
058807413394,2,100
681131759106,0.88,100
681131759090,0.88,100
058807413257,2,100
058807415848,2,100
058807413158,2,100
058807415831,3.97,100
681131759113,0.88,100
066188118319,1.23,100
605388875389,0.88,100
681131759137,0.88,100
058807413288,2,100
058807412908,2,100
058807412359,2,100
058807415817,3.97,100
058807412953,2,100
628838411067,1.98,100
058716989706,4.97,100
055653400301,2.47,100
058716971411,2.97,100
058716971558,4.97,100
059527151597,4.77,100
069112132511,3.28,100
058716970551,4.97,100
058716300754,3.97,100
058716990191,6.97,100
058716990177,5.97,100
058716970452,3.97,100
770795005732,10.97,100
059527651592,4.77,100
041143120033,2.77,100
057961026532,2.97,100
060000107581,2.97,100
061522981017,2.97,100
041143029633,3.07,100
060000107536,2.97,100
681131911269,2,100
057961023296,2.97,100
061522018881,8.97,100
060000296100,4.27,100
065633270879,3.67,100
065633424487,1.97,100
681131811705,7.47,100
041143029435,5.17,100
057961123286,2.97,100
060000107543,2.97,100
057961018636,9.97,100
013562111503,5.77,100
057961017288,0.97,100
065633110144,9.27,100
061522980010,0.4,100
061522990019,0.4,100
060000107505,2.97,100
065633417113,1.97,100
065633179127,1.97,100
060000107512,2.97,100
065633072077,1.97,100
057961017233,0.97,100
065633439450,3.67,100
065633413832,3.67,100
060000022303,2.97,100
061522930015,0.4,100
681131911283,2,100
057961018629,9.97,100
058716990351,6.97,100
065633440845,3.47,100
057961118817,2.97,100
041143025734,2.57,100
059527551595,4.77,100
041570074794,4.37,100
058716990160,3.97,100
058716972111,12.97,100
041570053898,4.37,100
010300333074,5.97,100
010300533276,5.97,100
058716972739,2.47,100
058716970490,5.97,100
058716990344,4.97,100
058716990207,5.97,100
041570053850,4.37,100
058716990153,5.97,100
058716985012,1.97,100
065633432055,3.47,100
065633432086,3.47,100
058716990832,9.98,100
058716972913,2.47,100
058716989287,5.97,100
605388342744,2.27,100
058716990184,4.97,100
058716989713,5.97,100
058716970506,5.97,100
058716971602,4.27,100
058716972043,5.97,100
770795005749,10.97,100
065633432048,3.47,100
058449891468,4.27,100
078024063110,1.98,100
065633440852,3.47,100
058716971619,4.27,100
605388342669,2.27,100
058449891000,3.77,100
058716970469,3.97,100
041570032626,4.37,100
010300866077,5.97,100
058716971404,4.97,100
058449891352,3.77,100
058449892045,3.77,100
058449891017,3.77,100
058716971367,4.97,100
058449430216,3.77,100
058449430001,3.77,100
058449891420,3.77,100
060000021900,2.97,100
812542005050,2.77,100
058449891284,3.77,100
058807600091,3.47,100
058449430018,3.77,100
076150215168,2,100
628915009170,2,100
084114119131,3,100
084114119032,3,100
084114119049,3,100
058807500827,3,100
058807500889,4.77,100
065633458130,2.47,100
031146215560,3.98,100
058807500896,3,100
605388932983,2.47,100
084114119056,3,100
064100852792,3.47,100
681131408578,1.47,100
815506015508,2.5,100
681131713108,2.97,100
812542005043,2.77,100
084114110404,3,100
728229129417,4.97,100
681131408493,1.47,100
628915009156,2,100
064100852532,2.47,100
084114119087,3,100
058807489856,4.77,100
069112008823,2.26,100
064100852396,2.77,100
015839010069,3.77,100
058807500858,6.97,100
084114110381,3,100
812542005029,2.77,100
058807500865,6.97,100
069941383658,12.5,100
058807489863,4.77,100
058807500834,4.77,100
058807500926,6.97,100
084114119117,3,100
812542005081,2.77,100
084114115843,3,100
681131713146,1.97,100
058807600077,3.47,100
829515308681,2.97,100
064144150700,2,100
058807500872,3,100
829515308582,2.97,100
678523040249,4.97,100
681131408653,1.47,100
076150215045,7.97,100
605388347794,1.77,100
058807488163,4.27,100
843571004325,3.97,100
058807500841,4.77,100
681131799539,1.24,100
843571004721,3.97,100
064900425936,3.94,100
064900427251,3.94,100
066721013071,2.27,100
066721002143,1.97,100
066721023858,1.97,100
056358620186,2.97,100
066721001207,1.97,100
061127189993,2,100
066721010469,3.67,100
066721018410,1.97,100
060465004500,1,100
014100084068,2.97,100
897580000137,5.73,100
064100770041,1.94,100
059290312072,2.97,100
066721002228,1.97,100
681131914413,2,100
066721012784,2.5,100
066721011572,1.97,100
066721000811,2.97,100
694990083763,6.49,100
059290290608,1.97,100
066721022981,2.27,100
073416200142,3.97,100
066721020376,1.97,100
064100770010,1.94,100
018627575832,2.97,100
066721020581,2.27,100
066721012210,2.97,100
066721000798,2.97,100
066721001184,1.97,100
066721000989,1.97,100
066721000972,1.97,100
605388342829,2,100
066721018458,1.97,100
066721001115,3.97,100
064100256668,1.94,100
065987204353,3.67,100
064100509795,8.98,100
041570054222,3.27,100
779921228564,1.27,100
066721000996,1.97,100
066721001467,1.97,100
064100707610,2.97,100
066721002167,1.97,100
066721013651,1.97,100
681131760782,1,100
066721001191,1.97,100
066721020604,2.27,100
678523038451,4.97,100
058500000549,2.97,100
055415133973,25,100
058807485070,4.77,100
070221006082,8.47,100
069941386406,10,100
058716101016,4.97,100
066264351548,9,100
064900427695,2.48,100
058716101009,4.97,100
068000113106,5.98,100
061200225969,2.16,100
064900427183,2.12,100
681131712866,1.57,100
073141551342,3.96,100
775886000382,2.48,100
678523080092,4.27,100
681131408738,4,100
029537040914,17.47,100
066264351524,9,100
678523080016,4.27,100
066264351531,9,100
775886000665,2.48,100
066721021816,1.97,100
064900426711,2.48,100
678523080054,4.27,100
055415137797,25,100
678523040225,4.97,100
073141552325,2.98,100
